tags_collected, time_in_minutes, random_seed
23, 20, 1337
23, 20, 1337
15, 20, 1337
22, 20, 1337
22, 20, 1337
19, 20, 1337
15, 20, 1337
16, 20, 1337
25, 20, 1337
19, 20, 1337
17, 20, 1337
18, 20, 1337
28, 20, 1337
16, 20, 1337
18, 20, 1337
26, 20, 1337
23, 20, 1337
17, 20, 1337
25, 20, 1337
19, 20, 1337
17, 20, 1337
21, 20, 1337
21, 20, 1337
17, 20, 1337
23, 20, 1337
23, 20, 1337
16, 20, 1337
20, 20, 1337
17, 20, 1337
21, 20, 1337
20, 20, 1337
17, 20, 1337
22, 20, 1337
22, 20, 1337
20, 20, 1337
20, 20, 1337
29, 20, 1337
18, 20, 1337
21, 20, 1337
15, 20, 1337
14, 20, 1337
17, 20, 1337
21, 20, 1337
19, 20, 1337
17, 20, 1337
22, 20, 1337
18, 20, 1337
27, 20, 1337
23, 20, 1337
18, 20, 1337
