tags_collected, time_in_minutes, random_seed
25, 30, 1337
31, 30, 1337
22, 30, 1337
32, 30, 1337
24, 30, 1337
29, 30, 1337
31, 30, 1337
29, 30, 1337
17, 30, 1337
30, 30, 1337
31, 30, 1337
28, 30, 1337
23, 30, 1337
30, 30, 1337
25, 30, 1337
48, 30, 1337
25, 30, 1337
38, 30, 1337
35, 30, 1337
24, 30, 1337
26, 30, 1337
27, 30, 1337
25, 30, 1337
34, 30, 1337
27, 30, 1337
37, 30, 1337
31, 30, 1337
40, 30, 1337
21, 30, 1337
31, 30, 1337
25, 30, 1337
20, 30, 1337
39, 30, 1337
21, 30, 1337
29, 30, 1337
32, 30, 1337
24, 30, 1337
24, 30, 1337
36, 30, 1337
30, 30, 1337
29, 30, 1337
29, 30, 1337
29, 30, 1337
25, 30, 1337
35, 30, 1337
25, 30, 1337
20, 30, 1337
43, 30, 1337
23, 30, 1337
32, 30, 1337
