tags_collected, time_in_minutes, random_seed
12, 30, 1337
12, 30, 1338
14, 30, 1339
20, 30, 1340
8, 30, 1341
9, 30, 1342
16, 30, 1343
19, 30, 1344
8, 30, 1345
11, 30, 1346
8, 30, 1347
13, 30, 1348
9, 30, 1349
15, 30, 1350
25, 30, 1351
17, 30, 1352
16, 30, 1353
10, 30, 1354
16, 30, 1355
17, 30, 1356
13, 30, 1357
16, 30, 1358
16, 30, 1359
16, 30, 1360
20, 30, 1361
12, 30, 1362
11, 30, 1363
12, 30, 1364
12, 30, 1365
18, 30, 1366
8, 30, 1367
14, 30, 1368
12, 30, 1369
17, 30, 1370
9, 30, 1371
7, 30, 1372
18, 30, 1373
15, 30, 1374
19, 30, 1375
12, 30, 1376
16, 30, 1377
18, 30, 1378
15, 30, 1379
15, 30, 1380
10, 30, 1381
18, 30, 1382
13, 30, 1383
16, 30, 1384
14, 30, 1385
7, 30, 1386
