tags_collected, time_in_minutes, random_seed
18, 30, 1337
36, 30, 1338
27, 30, 1339
25, 30, 1340
24, 30, 1341
30, 30, 1342
27, 30, 1343
29, 30, 1344
28, 30, 1345
33, 30, 1346
31, 30, 1347
21, 30, 1348
33, 30, 1349
25, 30, 1350
23, 30, 1351
39, 30, 1352
30, 30, 1353
20, 30, 1354
26, 30, 1355
24, 30, 1356
26, 30, 1357
27, 30, 1358
26, 30, 1359
33, 30, 1360
20, 30, 1361
29, 30, 1362
30, 30, 1363
32, 30, 1364
25, 30, 1365
24, 30, 1366
26, 30, 1367
22, 30, 1368
27, 30, 1369
23, 30, 1370
27, 30, 1371
30, 30, 1372
32, 30, 1373
31, 30, 1374
23, 30, 1375
30, 30, 1376
31, 30, 1377
26, 30, 1378
26, 30, 1379
26, 30, 1380
21, 30, 1381
20, 30, 1382
32, 30, 1383
26, 30, 1384
40, 30, 1385
30, 30, 1386
