tags_collected, time_in_minutes, random_seed
133, 50, 1337
130, 50, 1338
138, 50, 1339
127, 50, 1340
137, 50, 1341
128, 50, 1342
139, 50, 1343
142, 50, 1344
127, 50, 1345
136, 50, 1346
123, 50, 1347
148, 50, 1348
137, 50, 1349
121, 50, 1350
129, 50, 1351
111, 50, 1352
148, 50, 1353
123, 50, 1354
132, 50, 1355
135, 50, 1356
144, 50, 1357
127, 50, 1358
147, 50, 1359
146, 50, 1360
127, 50, 1361
147, 50, 1362
143, 50, 1363
133, 50, 1364
121, 50, 1365
134, 50, 1366
144, 50, 1367
133, 50, 1368
94, 50, 1369
105, 50, 1370
138, 50, 1371
137, 50, 1372
141, 50, 1373
135, 50, 1374
123, 50, 1375
135, 50, 1376
116, 50, 1377
104, 50, 1378
141, 50, 1379
136, 50, 1380
142, 50, 1381
139, 50, 1382
138, 50, 1383
138, 50, 1384
139, 50, 1385
143, 50, 1386
