tags_collected, time_in_minutes, random_seed
44, 20, 1337
64, 20, 1338
75, 20, 1339
100, 20, 1340
40, 20, 1341
50, 20, 1342
44, 20, 1343
62, 20, 1344
44, 20, 1345
28, 20, 1346
31, 20, 1347
44, 20, 1348
40, 20, 1349
80, 20, 1350
40, 20, 1351
56, 20, 1352
58, 20, 1353
49, 20, 1354
45, 20, 1355
61, 20, 1356
61, 20, 1357
36, 20, 1358
53, 20, 1359
63, 20, 1360
50, 20, 1361
39, 20, 1362
35, 20, 1363
58, 20, 1364
39, 20, 1365
55, 20, 1366
40, 20, 1367
54, 20, 1368
74, 20, 1369
51, 20, 1370
67, 20, 1371
28, 20, 1372
50, 20, 1373
52, 20, 1374
57, 20, 1375
46, 20, 1376
34, 20, 1377
46, 20, 1378
45, 20, 1379
41, 20, 1380
54, 20, 1381
73, 20, 1382
45, 20, 1383
57, 20, 1384
66, 20, 1385
50, 20, 1386
