tags_collected, time_in_minutes, random_seed
150, 50, 1337
147, 50, 1338
150, 50, 1339
147, 50, 1340
154, 50, 1341
149, 50, 1342
154, 50, 1343
158, 50, 1344
140, 50, 1345
152, 50, 1346
147, 50, 1347
148, 50, 1348
154, 50, 1349
144, 50, 1350
154, 50, 1351
151, 50, 1352
149, 50, 1353
156, 50, 1354
149, 50, 1355
149, 50, 1356
150, 50, 1357
154, 50, 1358
145, 50, 1359
150, 50, 1360
138, 50, 1361
150, 50, 1362
154, 50, 1363
146, 50, 1364
155, 50, 1365
150, 50, 1366
149, 50, 1367
147, 50, 1368
152, 50, 1369
156, 50, 1370
153, 50, 1371
157, 50, 1372
154, 50, 1373
143, 50, 1374
153, 50, 1375
146, 50, 1376
154, 50, 1377
155, 50, 1378
151, 50, 1379
146, 50, 1380
149, 50, 1381
148, 50, 1382
151, 50, 1383
142, 50, 1384
157, 50, 1385
149, 50, 1386
