tags_collected, time_in_minutes, random_seed
29, 30, 1337
32, 30, 1337
21, 30, 1337
33, 30, 1337
26, 30, 1337
29, 30, 1337
30, 30, 1337
24, 30, 1337
27, 30, 1337
29, 30, 1337
24, 30, 1337
29, 30, 1337
33, 30, 1337
30, 30, 1337
27, 30, 1337
44, 30, 1337
31, 30, 1337
37, 30, 1337
33, 30, 1337
24, 30, 1337
30, 30, 1337
26, 30, 1337
30, 30, 1337
32, 30, 1337
27, 30, 1337
37, 30, 1337
30, 30, 1337
33, 30, 1337
25, 30, 1337
34, 30, 1337
28, 30, 1337
30, 30, 1337
25, 30, 1337
22, 30, 1337
28, 30, 1337
32, 30, 1337
37, 30, 1337
28, 30, 1337
30, 30, 1337
24, 30, 1337
27, 30, 1337
27, 30, 1337
27, 30, 1337
34, 30, 1337
26, 30, 1337
32, 30, 1337
36, 30, 1337
30, 30, 1337
29, 30, 1337
27, 30, 1337
