tags_collected, time_in_minutes, random_seed
58, 20, 1337
30, 20, 1338
70, 20, 1339
84, 20, 1340
32, 20, 1341
57, 20, 1342
49, 20, 1343
72, 20, 1344
84, 20, 1345
77, 20, 1346
59, 20, 1347
31, 20, 1348
55, 20, 1349
49, 20, 1350
16, 20, 1351
27, 20, 1352
32, 20, 1353
87, 20, 1354
14, 20, 1355
59, 20, 1356
31, 20, 1357
57, 20, 1358
101, 20, 1359
65, 20, 1360
22, 20, 1361
30, 20, 1362
105, 20, 1363
66, 20, 1364
56, 20, 1365
45, 20, 1366
23, 20, 1367
37, 20, 1368
18, 20, 1369
37, 20, 1370
55, 20, 1371
81, 20, 1372
71, 20, 1373
55, 20, 1374
107, 20, 1375
57, 20, 1376
98, 20, 1377
54, 20, 1378
23, 20, 1379
47, 20, 1380
64, 20, 1381
48, 20, 1382
59, 20, 1383
65, 20, 1384
90, 20, 1385
44, 20, 1386
