tags_collected, time_in_minutes, random_seed
122, 50, 1337
123, 50, 1338
125, 50, 1339
150, 50, 1340
93, 50, 1341
157, 50, 1342
107, 50, 1343
132, 50, 1344
152, 50, 1345
142, 50, 1346
128, 50, 1347
94, 50, 1348
135, 50, 1349
126, 50, 1350
66, 50, 1351
78, 50, 1352
70, 50, 1353
156, 50, 1354
46, 50, 1355
175, 50, 1356
81, 50, 1357
126, 50, 1358
162, 50, 1359
107, 50, 1360
94, 50, 1361
134, 50, 1362
153, 50, 1363
135, 50, 1364
123, 50, 1365
128, 50, 1366
120, 50, 1367
106, 50, 1368
83, 50, 1369
80, 50, 1370
129, 50, 1371
155, 50, 1372
149, 50, 1373
164, 50, 1374
174, 50, 1375
108, 50, 1376
146, 50, 1377
95, 50, 1378
72, 50, 1379
105, 50, 1380
92, 50, 1381
117, 50, 1382
123, 50, 1383
164, 50, 1384
135, 50, 1385
114, 50, 1386
