tags_collected, time_in_minutes, random_seed
154, 60, 1337
169, 60, 1338
143, 60, 1339
117, 60, 1340
122, 60, 1341
158, 60, 1342
157, 60, 1343
147, 60, 1344
143, 60, 1345
159, 60, 1346
129, 60, 1347
140, 60, 1348
164, 60, 1349
155, 60, 1350
153, 60, 1351
132, 60, 1352
156, 60, 1353
152, 60, 1354
164, 60, 1355
168, 60, 1356
159, 60, 1357
150, 60, 1358
167, 60, 1359
157, 60, 1360
141, 60, 1361
171, 60, 1362
140, 60, 1363
154, 60, 1364
170, 60, 1365
152, 60, 1366
121, 60, 1367
153, 60, 1368
153, 60, 1369
143, 60, 1370
140, 60, 1371
170, 60, 1372
152, 60, 1373
154, 60, 1374
127, 60, 1375
172, 60, 1376
156, 60, 1377
124, 60, 1378
170, 60, 1379
161, 60, 1380
148, 60, 1381
129, 60, 1382
140, 60, 1383
157, 60, 1384
158, 60, 1385
162, 60, 1386
