tags_collected, time_in_minutes, random_seed
39, 40, 1337
48, 40, 1337
39, 40, 1337
43, 40, 1337
35, 40, 1337
30, 40, 1337
44, 40, 1337
37, 40, 1337
32, 40, 1337
35, 40, 1337
29, 40, 1337
30, 40, 1337
40, 40, 1337
37, 40, 1337
40, 40, 1337
53, 40, 1337
41, 40, 1337
40, 40, 1337
46, 40, 1337
30, 40, 1337
49, 40, 1337
38, 40, 1337
40, 40, 1337
43, 40, 1337
34, 40, 1337
49, 40, 1337
32, 40, 1337
49, 40, 1337
31, 40, 1337
41, 40, 1337
38, 40, 1337
27, 40, 1337
40, 40, 1337
38, 40, 1337
39, 40, 1337
40, 40, 1337
47, 40, 1337
36, 40, 1337
48, 40, 1337
39, 40, 1337
33, 40, 1337
35, 40, 1337
32, 40, 1337
39, 40, 1337
36, 40, 1337
47, 40, 1337
38, 40, 1337
42, 40, 1337
37, 40, 1337
43, 40, 1337
