tags_collected, time_in_minutes, random_seed
5, 10, 1337
13, 10, 1338
9, 10, 1339
19, 10, 1340
9, 10, 1341
7, 10, 1342
10, 10, 1343
11, 10, 1344
8, 10, 1345
12, 10, 1346
11, 10, 1347
10, 10, 1348
14, 10, 1349
11, 10, 1350
14, 10, 1351
10, 10, 1352
10, 10, 1353
10, 10, 1354
10, 10, 1355
8, 10, 1356
11, 10, 1357
9, 10, 1358
8, 10, 1359
15, 10, 1360
6, 10, 1361
11, 10, 1362
10, 10, 1363
11, 10, 1364
9, 10, 1365
9, 10, 1366
9, 10, 1367
9, 10, 1368
11, 10, 1369
10, 10, 1370
8, 10, 1371
15, 10, 1372
11, 10, 1373
13, 10, 1374
8, 10, 1375
12, 10, 1376
8, 10, 1377
11, 10, 1378
8, 10, 1379
12, 10, 1380
11, 10, 1381
10, 10, 1382
11, 10, 1383
13, 10, 1384
13, 10, 1385
14, 10, 1386
