tags_collected, time_in_minutes, random_seed
33, 30, 1337
44, 30, 1338
33, 30, 1339
34, 30, 1340
43, 30, 1341
40, 30, 1342
40, 30, 1343
35, 30, 1344
35, 30, 1345
40, 30, 1346
34, 30, 1347
37, 30, 1348
45, 30, 1349
37, 30, 1350
37, 30, 1351
35, 30, 1352
39, 30, 1353
36, 30, 1354
32, 30, 1355
36, 30, 1356
34, 30, 1357
34, 30, 1358
32, 30, 1359
37, 30, 1360
31, 30, 1361
40, 30, 1362
39, 30, 1363
33, 30, 1364
40, 30, 1365
37, 30, 1366
37, 30, 1367
38, 30, 1368
38, 30, 1369
38, 30, 1370
40, 30, 1371
39, 30, 1372
37, 30, 1373
40, 30, 1374
34, 30, 1375
43, 30, 1376
43, 30, 1377
47, 30, 1378
37, 30, 1379
35, 30, 1380
38, 30, 1381
41, 30, 1382
35, 30, 1383
42, 30, 1384
38, 30, 1385
34, 30, 1386
