tags_collected, time_in_minutes, random_seed
21, 60, 1337
24, 60, 1338
23, 60, 1339
36, 60, 1340
37, 60, 1341
23, 60, 1342
22, 60, 1343
32, 60, 1344
22, 60, 1345
33, 60, 1346
18, 60, 1347
19, 60, 1348
18, 60, 1349
19, 60, 1350
43, 60, 1351
30, 60, 1352
30, 60, 1353
22, 60, 1354
18, 60, 1355
22, 60, 1356
22, 60, 1357
22, 60, 1358
29, 60, 1359
23, 60, 1360
34, 60, 1361
42, 60, 1362
39, 60, 1363
23, 60, 1364
25, 60, 1365
27, 60, 1366
32, 60, 1367
38, 60, 1368
29, 60, 1369
29, 60, 1370
23, 60, 1371
24, 60, 1372
28, 60, 1373
23, 60, 1374
23, 60, 1375
42, 60, 1376
21, 60, 1377
30, 60, 1378
21, 60, 1379
26, 60, 1380
25, 60, 1381
34, 60, 1382
25, 60, 1383
39, 60, 1384
21, 60, 1385
14, 60, 1386
