tags_collected, time_in_minutes, random_seed
89, 30, 1337
50, 30, 1338
97, 30, 1339
107, 30, 1340
51, 30, 1341
113, 30, 1342
78, 30, 1343
80, 30, 1344
119, 30, 1345
74, 30, 1346
87, 30, 1347
55, 30, 1348
75, 30, 1349
61, 30, 1350
33, 30, 1351
33, 30, 1352
45, 30, 1353
114, 30, 1354
34, 30, 1355
97, 30, 1356
52, 30, 1357
79, 30, 1358
117, 30, 1359
71, 30, 1360
42, 30, 1361
69, 30, 1362
140, 30, 1363
86, 30, 1364
74, 30, 1365
101, 30, 1366
45, 30, 1367
54, 30, 1368
31, 30, 1369
52, 30, 1370
65, 30, 1371
111, 30, 1372
93, 30, 1373
80, 30, 1374
133, 30, 1375
77, 30, 1376
121, 30, 1377
68, 30, 1378
41, 30, 1379
65, 30, 1380
66, 30, 1381
68, 30, 1382
78, 30, 1383
80, 30, 1384
104, 30, 1385
65, 30, 1386
