tags_collected, time_in_minutes, random_seed
139, 60, 1337
134, 60, 1338
145, 60, 1339
146, 60, 1340
116, 60, 1341
163, 60, 1342
132, 60, 1343
143, 60, 1344
162, 60, 1345
162, 60, 1346
127, 60, 1347
96, 60, 1348
152, 60, 1349
139, 60, 1350
62, 60, 1351
98, 60, 1352
83, 60, 1353
172, 60, 1354
85, 60, 1355
178, 60, 1356
99, 60, 1357
134, 60, 1358
198, 60, 1359
123, 60, 1360
98, 60, 1361
108, 60, 1362
191, 60, 1363
182, 60, 1364
133, 60, 1365
187, 60, 1366
159, 60, 1367
110, 60, 1368
102, 60, 1369
102, 60, 1370
127, 60, 1371
166, 60, 1372
173, 60, 1373
162, 60, 1374
202, 60, 1375
164, 60, 1376
162, 60, 1377
142, 60, 1378
91, 60, 1379
119, 60, 1380
116, 60, 1381
128, 60, 1382
131, 60, 1383
140, 60, 1384
157, 60, 1385
122, 60, 1386
