tags_collected, time_in_minutes, random_seed
27, 10, 1337
21, 10, 1338
31, 10, 1339
24, 10, 1340
19, 10, 1341
25, 10, 1342
31, 10, 1343
28, 10, 1344
22, 10, 1345
34, 10, 1346
28, 10, 1347
24, 10, 1348
28, 10, 1349
29, 10, 1350
21, 10, 1351
31, 10, 1352
23, 10, 1353
36, 10, 1354
23, 10, 1355
23, 10, 1356
30, 10, 1357
29, 10, 1358
31, 10, 1359
29, 10, 1360
28, 10, 1361
25, 10, 1362
33, 10, 1363
29, 10, 1364
29, 10, 1365
18, 10, 1366
24, 10, 1367
31, 10, 1368
20, 10, 1369
26, 10, 1370
31, 10, 1371
28, 10, 1372
19, 10, 1373
21, 10, 1374
26, 10, 1375
33, 10, 1376
18, 10, 1377
24, 10, 1378
34, 10, 1379
35, 10, 1380
30, 10, 1381
26, 10, 1382
26, 10, 1383
29, 10, 1384
31, 10, 1385
33, 10, 1386
27, 10, 1337
21, 10, 1338
31, 10, 1339
24, 10, 1340
19, 10, 1341
25, 10, 1342
31, 10, 1343
28, 10, 1344
9, 0, 1337
3, 0, 1338
5, 0, 1339
2, 0, 1340
100, 10, 1337
96, 10, 1338
93, 10, 1339
98, 10, 1340
106, 10, 1341
100, 10, 1342
96, 10, 1343
98, 10, 1344
95, 10, 1345
103, 10, 1346
98, 10, 1347
101, 10, 1348
106, 10, 1349
99, 10, 1350
96, 10, 1351
102, 10, 1352
95, 10, 1353
97, 10, 1354
102, 10, 1355
103, 10, 1356
93, 10, 1357
99, 10, 1358
102, 10, 1359
96, 10, 1360
94, 10, 1361
104, 10, 1362
96, 10, 1363
95, 10, 1364
95, 10, 1365
97, 10, 1366
94, 10, 1367
104, 10, 1368
102, 10, 1369
96, 10, 1370
104, 10, 1371
97, 10, 1372
94, 10, 1373
102, 10, 1374
98, 10, 1375
102, 10, 1376
97, 10, 1377
92, 10, 1378
99, 10, 1379
101, 10, 1380
103, 10, 1381
96, 10, 1382
101, 10, 1383
99, 10, 1384
90, 10, 1385
99, 10, 1386
