tags_collected, time_in_minutes, random_seed
115, 50, 1337
124, 50, 1338
131, 50, 1339
180, 50, 1340
133, 50, 1341
125, 50, 1342
114, 50, 1343
113, 50, 1344
108, 50, 1345
107, 50, 1346
64, 50, 1347
108, 50, 1348
106, 50, 1349
184, 50, 1350
137, 50, 1351
122, 50, 1352
132, 50, 1353
101, 50, 1354
116, 50, 1355
112, 50, 1356
122, 50, 1357
84, 50, 1358
142, 50, 1359
132, 50, 1360
124, 50, 1361
108, 50, 1362
136, 50, 1363
126, 50, 1364
108, 50, 1365
101, 50, 1366
110, 50, 1367
93, 50, 1368
118, 50, 1369
126, 50, 1370
173, 50, 1371
105, 50, 1372
136, 50, 1373
116, 50, 1374
104, 50, 1375
106, 50, 1376
123, 50, 1377
109, 50, 1378
101, 50, 1379
118, 50, 1380
103, 50, 1381
160, 50, 1382
116, 50, 1383
134, 50, 1384
110, 50, 1385
106, 50, 1386
