tags_collected, time_in_minutes, random_seed
17, 20, 1337
21, 20, 1337
14, 20, 1337
23, 20, 1337
15, 20, 1337
15, 20, 1337
23, 20, 1337
13, 20, 1337
22, 20, 1337
16, 20, 1337
13, 20, 1337
14, 20, 1337
17, 20, 1337
24, 20, 1337
11, 20, 1337
30, 20, 1337
17, 20, 1337
24, 20, 1337
35, 20, 1337
16, 20, 1337
25, 20, 1337
18, 20, 1337
19, 20, 1337
19, 20, 1337
24, 20, 1337
20, 20, 1337
23, 20, 1337
19, 20, 1337
14, 20, 1337
21, 20, 1337
16, 20, 1337
20, 20, 1337
14, 20, 1337
21, 20, 1337
24, 20, 1337
18, 20, 1337
23, 20, 1337
18, 20, 1337
15, 20, 1337
27, 20, 1337
21, 20, 1337
10, 20, 1337
17, 20, 1337
15, 20, 1337
16, 20, 1337
23, 20, 1337
17, 20, 1337
16, 20, 1337
25, 20, 1337
16, 20, 1337
